,OTU,Sample,Abundance,Group,Smple.ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Kingdom,Phylum,Class
3069,Otu002,BDM05160049BF,0.088672424,BDM05160049BF,308,Organix,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3071,Otu002,BDM05160033BF,0.087464938,BDM05160033BF,106,No Mulch,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3075,Otu002,BDM09150020BF,0.086351079,BDM09150020BF,307,No Mulch,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3077,Otu002,BDM09150012BF,0.085829141,BDM09150012BF,205,Organix,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3081,Otu002,BDM09160007BF,0.082523955,BDM09160007BF,108,Polyethylene,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3087,Otu002,BDM09160020BF,0.081002969,BDM09160020BF,307,No Mulch,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3089,Otu002,BDM05160032BF,0.080111472,BDM05160032BF,105,Naturecycle,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3094,Otu002,BDM09160006BF,0.079483776,BDM09160006BF,107,Organix,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3098,Otu002,BDM05160035BF,0.078566803,BDM05160035BF,108,Polyethylene,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3100,Otu002,BDM09160005BF,0.077690813,BDM09160005BF,106,No Mulch,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3102,Otu002,BDM05150010BF,0.077391888,BDM05150010BF,203,Weedguard,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3105,Otu002,BDM05160030BF,0.076304089,BDM05160030BF,102,BioAgri,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3107,Otu002,BDM05150009BF,0.075830392,BDM05150009BF,202,No Mulch,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3110,Otu002,BDM09160021BF,0.07565646,BDM09160021BF,308,Organix,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3115,Otu002,BDM05160044BF,0.074539612,BDM05160044BF,302,Weedguard,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3120,Otu002,BDM05150003BF,0.073697941,BDM05150003BF,103,PLA/PHA,1,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3121,Otu002,BDM09150006BF,0.073233487,BDM09150006BF,107,Organix,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3123,Otu002,BDM09150021BF,0.072320651,BDM09150021BF,308,Organix,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3124,Otu002,BDM05160029BF,0.071984801,BDM05160029BF,101,Weedguard,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3127,Otu002,BDM05160031BF,0.071187039,BDM05160031BF,103,PLA/PHA,1,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3128,Otu002,BDM09160012BF,0.070355361,BDM09160012BF,205,Organix,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3129,Otu002,BDM05160037BF,0.070185473,BDM05160037BF,202,No Mulch,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3130,Otu002,BDM05160045BF,0.069744071,BDM05160045BF,304,Polyethylene,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3133,Otu002,BDM05150015BF,0.068021983,BDM05150015BF,301,Naturecycle,3,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3134,Otu002,BDM05160039BF,0.066149555,BDM05160039BF,204,BioAgri,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3140,Otu002,BDM05160038BF,0.06446459,BDM05160038BF,203,Weedguard,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3144,Otu002,BDM09150004BF,0.063099042,BDM09150004BF,105,Naturecycle,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3147,Otu002,BDM09150015BF,0.062886519,BDM09150015BF,301,Naturecycle,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3151,Otu002,BDM09150005BF,0.062150838,BDM09150005BF,106,No Mulch,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3152,Otu002,BDM09150007BF,0.061305874,BDM09150007BF,108,Polyethylene,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3154,Otu002,BDM09160016BF,0.060177223,BDM09160016BF,302,Weedguard,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3155,Otu002,BDM05150008BF,0.0601419,BDM05150008BF,201,PLA/PHA,2,2015-05,Spring2015,TN,SpringTN,05-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3157,Otu002,BDM09150009BF,0.059730002,BDM09150009BF,202,No Mulch,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3158,Otu002,BDM09150016BF,0.059196002,BDM09150016BF,302,Weedguard,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3161,Otu002,BDM09160002BF,0.057262167,BDM09160002BF,102,BioAgri,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3162,Otu002,BDM09150003BF,0.057156404,BDM09150003BF,103,PLA/PHA,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3164,Otu002,BDM09150002BF,0.056571482,BDM09150002BF,102,BioAgri,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3165,Otu002,BDM09150011BF,0.05570307,BDM09150011BF,204,BioAgri,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3168,Otu002,BDM09150017BF,0.055197082,BDM09150017BF,304,Polyethylene,3,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3169,Otu002,BDM05160043BF,0.054983703,BDM05160043BF,301,Naturecycle,3,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3170,Otu002,BDM09160004BF,0.054778047,BDM09160004BF,105,Naturecycle,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3172,Otu002,BDM09160009BF,0.054092836,BDM09160009BF,202,No Mulch,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3173,Otu002,BDM09160003BF,0.053459742,BDM09160003BF,103,PLA/PHA,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3176,Otu002,BDM09150001BF,0.051931483,BDM09150001BF,101,Weedguard,1,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3180,Otu002,BDM09160010BF,0.049582781,BDM09160010BF,203,Weedguard,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3182,Otu002,BDM05160036BF,0.049097429,BDM05160036BF,201,PLA/PHA,2,2016-05,Spring2016,TN,SpringTN,05-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3183,Otu002,BDM09150010BF,0.047031783,BDM09150010BF,203,Weedguard,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3184,Otu002,BDM09160017BF,0.04526066,BDM09160017BF,304,Polyethylene,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3185,Otu002,BDM09160011BF,0.044979582,BDM09160011BF,204,BioAgri,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3186,Otu002,BDM09150008BF,0.044206486,BDM09150008BF,201,PLA/PHA,2,2015-09,Fall2015,TN,FallTN,09-2015TN,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3189,Otu002,BDM09160015BF,0.037410333,BDM09160015BF,301,Naturecycle,3,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3190,Otu002,BDM09160001BF,0.034939495,BDM09160001BF,101,Weedguard,1,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3191,Otu002,BDM09160008BF,0.031268657,BDM09160008BF,201,PLA/PHA,2,2016-09,Fall2016,TN,FallTN,09-2016TN,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3031,Otu002,BDM09150044BF,0.109246792,BDM09150044BF,302,Weedguard,3,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3044,Otu002,BDM05160009BF,0.09585775,BDM05160009BF,202,No Mulch,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3047,Otu002,BDM05150031BF,0.094763692,BDM05150031BF,103,PLA/PHA,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3048,Otu002,BDM05150030BF,0.094588024,BDM05150030BF,102,BioAgri,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3049,Otu002,BDM05150037BF,0.094133574,BDM05150037BF,202,No Mulch,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3051,Otu002,BDM05160002BF,0.094052559,BDM05160002BF,102,BioAgri,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3052,Otu002,BDM05160001BF,0.093933052,BDM05160001BF,101,Weedguard,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3053,Otu002,BDM05160015BF,0.093540426,BDM05160015BF,301,Naturecycle,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3056,Otu002,BDM05150043BF,0.092178016,BDM05150043BF,301,Naturecycle,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3064,Otu002,BDM09150037BF,0.09002464,BDM09150037BF,202,No Mulch,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3065,Otu002,BDM05160008BF,0.089851673,BDM05160008BF,201,PLA/PHA,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3067,Otu002,BDM05150033BF,0.088870213,BDM05150033BF,106,No Mulch,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3068,Otu002,BDM05160004BF,0.088847926,BDM05160004BF,105,Naturecycle,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3070,Otu002,BDM05150029BF,0.088316163,BDM05150029BF,101,Weedguard,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3072,Otu002,BDM05150049BF,0.087120746,BDM05150049BF,308,Organix,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3073,Otu002,BDM05150036BF,0.086729784,BDM05150036BF,201,PLA/PHA,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3074,Otu002,BDM05160021BF,0.086697335,BDM05160021BF,308,Organix,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3076,Otu002,BDM05150035BF,0.086092967,BDM05150035BF,108,Polyethylene,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3078,Otu002,BDM05160005BF,0.085701666,BDM05160005BF,106,No Mulch,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3079,Otu002,BDM05150042BF,0.085122539,BDM05150042BF,207,Polyethylene,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3080,Otu002,BDM09150030BF,0.084406473,BDM09150030BF,102,BioAgri,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3082,Otu002,BDM05160003BF,0.082415012,BDM05160003BF,103,PLA/PHA,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3083,Otu002,BDM05150039BF,0.08209802,BDM05150039BF,204,BioAgri,2,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3084,Otu002,BDM05150034BF,0.081710027,BDM05150034BF,107,Organix,1,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3085,Otu002,BDM05160018BF,0.081487232,BDM05160018BF,305,BioAgri,3,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3086,Otu002,BDM05160011BF,0.081153034,BDM05160011BF,204,BioAgri,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3088,Otu002,BDM05150047BF,0.080539753,BDM05150047BF,306,PLA/PHA,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3090,Otu002,BDM05160006BF,0.080045176,BDM05160006BF,107,Organix,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3091,Otu002,BDM05150044BF,0.079802827,BDM05150044BF,302,Weedguard,3,2015-05,Spring2015,WA,SpringWA,05-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3092,Otu002,BDM05160007BF,0.079799666,BDM05160007BF,108,Polyethylene,1,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3093,Otu002,BDM09150029BF,0.079774066,BDM09150029BF,101,Weedguard,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3095,Otu002,BDM05160014BF,0.079120993,BDM05160014BF,207,Polyethylene,2,2016-05,Spring2016,WA,SpringWA,05-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
