,OTU,Sample,Abundance,Group,Smple.ID,Treatment,Rep,Year_Month,Season,Location,Season_Location,Season_Year_Location,Year,Kingdom,Phylum,Class
3136,Otu002,BDM09150031BF,0.065858185,BDM09150031BF,103,PLA/PHA,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3137,Otu002,BDM09150033BF,0.065164542,BDM09150033BF,106,No Mulch,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3138,Otu002,BDM09150042BF,0.06497643,BDM09150042BF,207,Polyethylene,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3139,Otu002,BDM09160030BF,0.064747922,BDM09160030BF,102,BioAgri,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3141,Otu002,BDM09150040BF,0.064328513,BDM09150040BF,205,Organix,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3142,Otu002,BDM09160048BF,0.064000221,BDM09160048BF,307,No Mulch,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3143,Otu002,BDM09160037BF,0.063151496,BDM09160037BF,202,No Mulch,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3145,Otu002,BDM09150041BF,0.063019226,BDM09150041BF,206,Naturecycle,2,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3146,Otu002,BDM09150046BF,0.06294617,BDM09150046BF,305,BioAgri,3,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3148,Otu002,BDM09150035BF,0.062437131,BDM09150035BF,108,Polyethylene,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3149,Otu002,BDM09160049BF,0.06232104,BDM09160049BF,308,Organix,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3150,Otu002,BDM09150047BF,0.062256261,BDM09150047BF,306,PLA/PHA,3,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3153,Otu002,BDM09160040BF,0.061221029,BDM09160040BF,205,Organix,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3156,Otu002,BDM09160036BF,0.059791279,BDM09160036BF,201,PLA/PHA,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3159,Otu002,BDM09150032BF,0.058689488,BDM09150032BF,105,Naturecycle,1,2015-09,Fall2015,WA,FallWA,09-2015WA,2015,Bacteria,Acidobacteria,Acidobacteria_Gp6
3160,Otu002,BDM09160043BF,0.057804664,BDM09160043BF,301,Naturecycle,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3163,Otu002,BDM09160046BF,0.056955093,BDM09160046BF,305,BioAgri,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3166,Otu002,BDM09160039BF,0.055611017,BDM09160039BF,204,BioAgri,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3167,Otu002,BDM09160032BF,0.055608962,BDM09160032BF,105,Naturecycle,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3171,Otu002,BDM09160033BF,0.05424481,BDM09160033BF,106,No Mulch,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3174,Otu002,BDM09160041BF,0.053099523,BDM09160041BF,206,Naturecycle,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3175,Otu002,BDM09160042BF,0.052310955,BDM09160042BF,207,Polyethylene,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3177,Otu002,BDM09160045BF,0.051233217,BDM09160045BF,304,Polyethylene,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3178,Otu002,BDM09160031BF,0.05015751,BDM09160031BF,103,PLA/PHA,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3179,Otu002,BDM09160029BF,0.049913966,BDM09160029BF,101,Weedguard,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3181,Otu002,BDM09160034BF,0.04947257,BDM09160034BF,107,Organix,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3187,Otu002,BDM09160047BF,0.043256176,BDM09160047BF,306,PLA/PHA,3,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3188,Otu002,BDM09160035BF,0.041866642,BDM09160035BF,108,Polyethylene,1,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
3192,Otu002,BDM09160038BF,0.02966369,BDM09160038BF,203,Weedguard,2,2016-09,Fall2016,WA,FallWA,09-2016WA,2016,Bacteria,Acidobacteria,Acidobacteria_Gp6
